driver,condition,repeat,completed_laps,lap_time,elapsed_time,off_track_pct,max_grip_usage,avg_speed_kmh,score
rule_based,balanced,1,1,7.683333,7.683333,0.000000,1.000000,82.144904,8.183333
rule_based,balanced,2,1,7.683333,7.683333,0.000000,1.000000,82.144904,8.183333
raw_neural,balanced,1,1,8.950000,8.950000,0.000000,1.000000,76.222992,9.450000
raw_neural,balanced,2,1,8.950000,8.950000,0.000000,1.000000,76.222992,9.450000
vae_latent,balanced,1,1,8.850000,8.850000,0.000000,1.000000,65.445433,9.350000
vae_latent,balanced,2,1,8.850000,8.850000,0.000000,1.000000,65.445433,9.350000
optimized_vae_latent,balanced,1,1,7.200000,7.200000,0.000000,1.000000,91.631815,7.700000
optimized_vae_latent,balanced,2,1,7.200000,7.200000,0.000000,1.000000,91.631815,7.700000
rule_based,high_downforce,1,1,7.683333,7.683333,0.000000,1.000000,82.112962,8.183333
rule_based,high_downforce,2,1,7.683333,7.683333,0.000000,1.000000,82.112962,8.183333
raw_neural,high_downforce,1,1,8.966667,8.966667,0.000000,1.000000,76.081507,9.466667
raw_neural,high_downforce,2,1,8.966667,8.966667,0.000000,1.000000,76.081507,9.466667
vae_latent,high_downforce,1,1,8.883333,8.883333,0.000000,1.000000,65.014939,9.383333
vae_latent,high_downforce,2,1,8.883333,8.883333,0.000000,1.000000,65.014939,9.383333
optimized_vae_latent,high_downforce,1,1,7.216667,7.216667,0.000000,1.000000,90.984674,7.716667
optimized_vae_latent,high_downforce,2,1,7.216667,7.216667,0.000000,1.000000,90.984674,7.716667
rule_based,low_drag,1,1,7.666667,7.666667,0.000000,1.000000,82.231307,8.166667
rule_based,low_drag,2,1,7.666667,7.666667,0.000000,1.000000,82.231307,8.166667
raw_neural,low_drag,1,1,8.916667,8.916667,0.000000,1.000000,76.402202,9.416667
raw_neural,low_drag,2,1,8.916667,8.916667,0.000000,1.000000,76.402202,9.416667
vae_latent,low_drag,1,1,8.816667,8.816667,0.000000,1.000000,65.829607,9.316667
vae_latent,low_drag,2,1,8.816667,8.816667,0.000000,1.000000,65.829607,9.316667
optimized_vae_latent,low_drag,1,1,7.183333,7.183333,0.000000,1.000000,92.875329,7.683333
optimized_vae_latent,low_drag,2,1,7.183333,7.183333,0.000000,1.000000,92.875329,7.683333
rule_based,cold_tires,1,1,7.683333,7.683333,0.000000,1.000000,82.144488,8.183333
rule_based,cold_tires,2,1,7.683333,7.683333,0.000000,1.000000,82.144488,8.183333
raw_neural,cold_tires,1,1,30.383333,30.383333,88.864509,1.000000,28.179611,208.612351
raw_neural,cold_tires,2,1,30.383333,30.383333,88.864509,1.000000,28.179611,208.612351
vae_latent,cold_tires,1,1,6.466667,6.466667,21.134021,1.000000,77.692296,49.234708
vae_latent,cold_tires,2,1,6.466667,6.466667,21.134021,1.000000,77.692296,49.234708
optimized_vae_latent,cold_tires,1,1,5.983333,5.983333,23.955432,1.000000,79.641344,54.394197
optimized_vae_latent,cold_tires,2,1,5.983333,5.983333,23.955432,1.000000,79.641344,54.394197
rule_based,worn_tires,1,1,7.683333,7.683333,0.000000,1.000000,82.144461,8.183333
rule_based,worn_tires,2,1,7.683333,7.683333,0.000000,1.000000,82.144461,8.183333
raw_neural,worn_tires,1,0,,90.016667,93.149417,1.000000,63.145900,506.815500
raw_neural,worn_tires,2,0,,90.016667,93.149417,1.000000,63.145900,506.815500
vae_latent,worn_tires,1,1,36.333333,36.333333,39.128440,1.000000,72.736818,115.090214
vae_latent,worn_tires,2,1,36.333333,36.333333,39.128440,1.000000,72.736818,115.090214
optimized_vae_latent,worn_tires,1,1,28.000000,28.000000,30.178571,1.000000,74.066275,88.857143
optimized_vae_latent,worn_tires,2,1,28.000000,28.000000,30.178571,1.000000,74.066275,88.857143
rule_based,wet_track,1,1,9.250000,9.250000,0.000000,1.000000,68.061793,9.750000
rule_based,wet_track,2,1,9.250000,9.250000,0.000000,1.000000,68.061793,9.750000
raw_neural,wet_track,1,1,14.800000,14.800000,0.000000,1.000000,41.451568,15.300000
raw_neural,wet_track,2,1,14.800000,14.800000,0.000000,1.000000,41.451568,15.300000
vae_latent,wet_track,1,1,9.816667,9.816667,18.336163,1.000000,48.495296,46.988993
vae_latent,wet_track,2,1,9.816667,9.816667,18.336163,1.000000,48.495296,46.988993
optimized_vae_latent,wet_track,1,1,9.716667,9.716667,16.809605,1.000000,51.836007,43.835878
optimized_vae_latent,wet_track,2,1,9.716667,9.716667,16.809605,1.000000,51.836007,43.835878
