epoch,loss,validation_loss
1,0.19864657,0.15646392
2,0.13848320,0.12599145
3,0.11387364,0.10577398
4,0.09645978,0.09073049
5,0.08326795,0.07904945
6,0.07294054,0.06972168
7,0.06460359,0.06217235
8,0.05783459,0.05596638
9,0.05224514,0.05082746
10,0.04761559,0.04652846
11,0.04370865,0.04291237
12,0.04044277,0.03983983
13,0.03764269,0.03721093
14,0.03522586,0.03495008
15,0.03317034,0.03299337
16,0.03134839,0.03128240
17,0.02976880,0.02978458
18,0.02840836,0.02846104
19,0.02717567,0.02728553
20,0.02610966,0.02623810
21,0.02509772,0.02529362
22,0.02420852,0.02444313
23,0.02344360,0.02367255
24,0.02271712,0.02296912
25,0.02207494,0.02232588
26,0.02147080,0.02173505
27,0.02088682,0.02119402
28,0.02037313,0.02068892
29,0.01990464,0.02022168
30,0.01947434,0.01978659
31,0.01907044,0.01938085
32,0.01866727,0.01900039
33,0.01829597,0.01864325
34,0.01797729,0.01830606
35,0.01765315,0.01798910
36,0.01735196,0.01768936
37,0.01705874,0.01740690
38,0.01679158,0.01713523
39,0.01654568,0.01687848
40,0.01629320,0.01663279
41,0.01607870,0.01639874
42,0.01582200,0.01617508
43,0.01562757,0.01596165
44,0.01542875,0.01575886
45,0.01522759,0.01556159
46,0.01503454,0.01537115
47,0.01486620,0.01518898
48,0.01467348,0.01501455
49,0.01456311,0.01484467
50,0.01434794,0.01468275
51,0.01421786,0.01452579
52,0.01404558,0.01437190
53,0.01390582,0.01422337
54,0.01377057,0.01408017
55,0.01364497,0.01394130
56,0.01349197,0.01380774
57,0.01337438,0.01367689
58,0.01325890,0.01354821
59,0.01312772,0.01342502
60,0.01300074,0.01330473
61,0.01289455,0.01318697
62,0.01278521,0.01307226
63,0.01268366,0.01296054
64,0.01257401,0.01285187
65,0.01245903,0.01274505
66,0.01238583,0.01264121
67,0.01229350,0.01253986
68,0.01217268,0.01244012
69,0.01206882,0.01234428
70,0.01199621,0.01224857
71,0.01189443,0.01215554
72,0.01181999,0.01206463
73,0.01171668,0.01197528
74,0.01164998,0.01188770
75,0.01155824,0.01180229
76,0.01147327,0.01171821
77,0.01137995,0.01163588
78,0.01130898,0.01155454
79,0.01124963,0.01147607
80,0.01115833,0.01139732
81,0.01107958,0.01132017
82,0.01102257,0.01124512
83,0.01094663,0.01117115
84,0.01087393,0.01109877
85,0.01081798,0.01102714
86,0.01072796,0.01095672
87,0.01066848,0.01088780
88,0.01060891,0.01082054
89,0.01055174,0.01075263
90,0.01047823,0.01068668
91,0.01041639,0.01062200
92,0.01035177,0.01055800
93,0.01030671,0.01049503
94,0.01022813,0.01043295
95,0.01017497,0.01037224
96,0.01011512,0.01031165
97,0.01004868,0.01025280
98,0.00999012,0.01019438
99,0.00997079,0.01013638
100,0.00987895,0.01008018
101,0.00983294,0.01002488
102,0.00979776,0.00997000
103,0.00973941,0.00991531
104,0.00969500,0.00986157
105,0.00962411,0.00980829
106,0.00958248,0.00975604
107,0.00953113,0.00970399
108,0.00945989,0.00965374
109,0.00943333,0.00960338
110,0.00938647,0.00955382
111,0.00933578,0.00950447
112,0.00930816,0.00945613
113,0.00924338,0.00940834
114,0.00921944,0.00936124
115,0.00914988,0.00931504
116,0.00910711,0.00926899
117,0.00908310,0.00922369
118,0.00901999,0.00917883
119,0.00898042,0.00913425
120,0.00894100,0.00909064
121,0.00889392,0.00904750
122,0.00885222,0.00900466
123,0.00881387,0.00896274
124,0.00877864,0.00892095
125,0.00873277,0.00887937
126,0.00871449,0.00883820
127,0.00864669,0.00879815
128,0.00861254,0.00875775
129,0.00856760,0.00871855
130,0.00852899,0.00867922
131,0.00851615,0.00864073
