epoch,loss,reconstruction_loss,kl_loss
1,1.00654094,1.00555108,0.65990459
2,0.92935823,0.92819292,0.77687730
3,0.86370882,0.86224786,0.97397157
4,0.79824546,0.79637142,1.24935665
5,0.73510300,0.73272599,1.58466850
6,0.68648746,0.68356468,1.94852061
7,0.64511128,0.64163337,2.31860787
8,0.61771904,0.61373716,2.65458422
9,0.59386660,0.58942105,2.96370060
10,0.57743585,0.57258179,3.23604086
11,0.56084946,0.55562631,3.48210040
12,0.54088646,0.53531498,3.71431952
13,0.52694773,0.52103732,3.94027316
14,0.50941951,0.50318162,4.15859669
15,0.49339110,0.48682557,4.37702259
16,0.47563089,0.46873663,4.59617575
17,0.46064286,0.45341515,4.81847022
18,0.44469092,0.43713169,5.03948559
19,0.43137850,0.42348424,5.26284016
20,0.41511051,0.40687105,5.49297562
21,0.40300625,0.39441963,5.72441606
22,0.38965679,0.38073091,5.95058344
23,0.38177450,0.37250507,6.17962131
24,0.37225001,0.36263624,6.40917766
25,0.36438261,0.35443271,6.63326231
26,0.35669837,0.34642221,6.85077710
27,0.35024816,0.33965775,7.06027105
28,0.34671919,0.33582310,7.26406314
29,0.34118016,0.32999144,7.45914854
30,0.33659548,0.32511453,7.65396608
31,0.33141243,0.31965445,7.83865481
32,0.32851824,0.31649297,8.01684473
33,0.32598891,0.31370067,8.19216596
34,0.32144969,0.30890398,8.36380538
35,0.31774149,0.30494656,8.52995652
36,0.31548786,0.30245053,8.69155206
37,0.31348068,0.30021911,8.84104811
38,0.31108393,0.29760037,8.98904220
39,0.30870861,0.29500179,9.13788126
40,0.30450933,0.29058529,9.28269401
41,0.30261993,0.28848651,9.42227598
42,0.30047784,0.28613618,9.56110378
43,0.29798644,0.28344488,9.69436856
44,0.29625216,0.28150905,9.82874411
45,0.29328021,0.27833902,9.96078954
46,0.28970057,0.27457351,10.08471020
47,0.29016136,0.27485292,10.20562634
48,0.28538803,0.26990380,10.32281625
49,0.28497512,0.26931884,10.43752227
50,0.28191400,0.26608917,10.54988609
51,0.28065626,0.26466156,10.66313533
52,0.27861662,0.26245478,10.77455971
53,0.27680899,0.26049437,10.87641395
54,0.27475360,0.25828445,10.97943108
55,0.27190863,0.25527925,11.08625236
