threshold,fpr,tpr
8.47856522,0.00000000,0.00000000
8.47856426,0.00000000,0.00083333
8.20745468,0.00000000,0.00166667
8.19012451,0.00000000,0.00250000
8.18782997,0.00000000,0.00333333
8.17366123,0.00000000,0.00416667
8.09229660,0.00000000,0.00500000
8.07958221,0.00000000,0.00583333
8.07227802,0.00000000,0.00666667
8.01369667,0.00000000,0.00750000
7.99931574,0.00000000,0.00833333
7.99642181,0.00000000,0.00916667
7.95382929,0.00000000,0.01000000
7.92238617,0.00000000,0.01083333
7.91374683,0.00000000,0.01166667
7.90628433,0.00000000,0.01250000
7.85570049,0.00000000,0.01333333
7.83809328,0.00000000,0.01416667
7.83808041,0.00000000,0.01500000
7.82382917,0.00000000,0.01583333
7.79557753,0.00000000,0.01666667
7.69507504,0.00000000,0.01750000
7.69501543,0.00000000,0.01833333
7.69366980,0.00000000,0.01916667
7.67623806,0.00000000,0.02000000
7.67097425,0.00000000,0.02083333
7.66174555,0.00000000,0.02166667
7.65915203,0.00000000,0.02250000
7.64563227,0.00000000,0.02333333
7.62246561,0.00000000,0.02416667
7.60982513,0.00000000,0.02500000
7.60298443,0.00000000,0.02583333
7.60243607,0.00000000,0.02666667
7.59924555,0.00000000,0.02750000
7.58694363,0.00000000,0.02833333
7.56335163,0.00000000,0.02916667
7.52641535,0.00000000,0.03000000
7.51654053,0.00000000,0.03083333
7.50981140,0.00000000,0.03166667
7.50356770,0.00000000,0.03250000
7.49721909,0.00000000,0.03333333
7.47369289,0.00000000,0.03416667
7.46668959,0.00000000,0.03500000
7.46583700,0.00000000,0.03583333
7.44971514,0.00000000,0.03666667
7.43735266,0.00000000,0.03750000
7.42097616,0.00000000,0.03833333
7.41336346,0.00000000,0.03916667
7.40222645,0.00000000,0.04000000
7.39862156,0.00000000,0.04083333
7.39807606,0.00000000,0.04166667
7.39369822,0.00000000,0.04250000
7.39277983,0.00000000,0.04333333
7.38706303,0.00000000,0.04416667
7.38543034,0.00000000,0.04500000
7.38400698,0.00000000,0.04583333
7.37724447,0.00000000,0.04666667
7.36673069,0.00000000,0.04750000
7.36087036,0.00000000,0.04833333
7.33954000,0.00000000,0.04916667
7.33952951,0.00000000,0.05000000
7.33685780,0.00000000,0.05083333
7.32999420,0.00000000,0.05166667
7.32661438,0.00000000,0.05250000
7.31858826,0.00000000,0.05333333
7.31774759,0.00000000,0.05416667
7.31669998,0.00000000,0.05500000
7.29222536,0.00000000,0.05583333
7.29057312,0.00000000,0.05666667
7.29013014,0.00000000,0.05750000
7.28683329,0.00000000,0.05833333
7.28261423,0.00000000,0.05916667
7.28231764,0.00000000,0.06000000
7.28156948,0.00000000,0.06083333
7.27961969,0.00000000,0.06166667
7.27867508,0.00000000,0.06250000
7.27486038,0.00000000,0.06333333
7.27210093,0.00000000,0.06416667
7.25882244,0.00000000,0.06500000
7.25209332,0.00000000,0.06583333
7.24356318,0.00000000,0.06666667
7.23892450,0.00000000,0.06750000
7.23136234,0.00000000,0.06833333
7.22450638,0.00000000,0.06916667
7.22191620,0.00000000,0.07000000
7.21878719,0.00000000,0.07083333
7.21099424,0.00000000,0.07166667
7.20681763,0.00000000,0.07250000
7.20166922,0.00000000,0.07333333
7.19333887,0.00000000,0.07416667
7.18940878,0.00000000,0.07500000
7.18836546,0.00000000,0.07583333
7.18754101,0.00000000,0.07666667
7.18618345,0.00000000,0.07750000
7.17582560,0.00000000,0.07833333
7.16999531,0.00000000,0.07916667
7.16802740,0.00000000,0.08000000
7.16073513,0.00000000,0.08083333
7.15767050,0.00000000,0.08166667
7.15745592,0.00000000,0.08250000
7.14659500,0.00000000,0.08333333
7.14028931,0.00000000,0.08416667
7.13664389,0.00000000,0.08500000
7.13160181,0.00000000,0.08583333
7.13125753,0.00000000,0.08666667
7.13074827,0.00000000,0.08750000
7.13009024,0.00000000,0.08833333
7.12933445,0.00000000,0.08916667
7.12690973,0.00000000,0.09000000
7.12432909,0.00000000,0.09083333
7.12332487,0.00000000,0.09166667
7.11755991,0.00000000,0.09250000
7.11467743,0.00000000,0.09333333
7.11152267,0.00000000,0.09416667
7.11031675,0.00000000,0.09500000
7.08834314,0.00000000,0.09583333
7.08639812,0.00000000,0.09666667
7.08529234,0.00000000,0.09750000
7.08506918,0.00000000,0.09833333
7.07554197,0.00000000,0.09916667
7.07092142,0.00000000,0.10000000
7.06476116,0.00000000,0.10083333
7.06186342,0.00000000,0.10166667
7.06136560,0.00000000,0.10250000
7.05181789,0.00000000,0.10333333
7.05016708,0.00000000,0.10416667
7.04354048,0.00000000,0.10500000
7.04278088,0.00000000,0.10583333
7.03378010,0.00000000,0.10666667
7.02662945,0.00000000,0.10750000
7.02096653,0.00000000,0.10833333
7.01490641,0.00000000,0.10916667
7.01010895,0.00000000,0.11000000
6.99950838,0.00000000,0.11083333
6.99766493,0.00000000,0.11166667
6.99087048,0.00000000,0.11250000
6.98924875,0.00000000,0.11333333
6.98755598,0.00000000,0.11416667
6.98474169,0.00000000,0.11500000
6.97933674,0.00000000,0.11583333
6.96752977,0.00000000,0.11666667
6.95413065,0.00000000,0.11750000
6.95048046,0.00000000,0.11833333
6.94434977,0.00000000,0.11916667
6.94148779,0.00000000,0.12000000
6.92502642,0.00000000,0.12083333
6.92305470,0.00000000,0.12166667
6.92229128,0.00000000,0.12250000
6.91424704,0.00000000,0.12333333
6.91411638,0.00000000,0.12416667
6.90842915,0.00000000,0.12500000
6.88704681,0.00000000,0.12583333
6.88628292,0.00000000,0.12666667
6.88436079,0.00000000,0.12750000
6.88259220,0.00000000,0.12833333
6.86389828,0.00000000,0.12916667
6.85733461,0.00000000,0.13000000
6.85305309,0.00000000,0.13083333
6.85068607,0.00000000,0.13166667
6.84806347,0.00000000,0.13250000
6.84418917,0.00000000,0.13333333
6.84400415,0.00000000,0.13416667
6.84259272,0.00000000,0.13500000
6.82513857,0.00000000,0.13583333
6.82445192,0.00000000,0.13666667
6.81533051,0.00000000,0.13750000
6.80928946,0.00000000,0.13833333
6.80830908,0.00000000,0.13916667
6.80524397,0.00000000,0.14000000
6.79970884,0.00000000,0.14083333
6.79590893,0.00000000,0.14166667
6.79493380,0.00000000,0.14250000
6.79247141,0.00000000,0.14333333
6.79243803,0.00000000,0.14416667
6.79240894,0.00000000,0.14500000
6.78770924,0.00000000,0.14583333
6.78382397,0.00000000,0.14666667
6.78380823,0.00000000,0.14750000
6.78207445,0.00000000,0.14833333
6.77323484,0.00000000,0.14916667
6.76643515,0.00000000,0.15000000
6.76518869,0.00000000,0.15083333
6.74746752,0.00000000,0.15166667
6.74397326,0.00000000,0.15250000
6.74375296,0.00000000,0.15333333
6.74208689,0.00000000,0.15416667
6.73577452,0.00000000,0.15500000
6.73095560,0.00000000,0.15583333
6.72959471,0.00000000,0.15666667
6.72415972,0.00000000,0.15750000
6.71666670,0.00000000,0.15833333
6.70361042,0.00000000,0.15916667
6.70312977,0.00000000,0.16000000
6.69874716,0.00000000,0.16083333
6.69372034,0.00000000,0.16166667
6.68973398,0.00000000,0.16250000
6.67770147,0.00000000,0.16333333
6.67467499,0.00000000,0.16416667
6.66345501,0.00000000,0.16500000
6.65977430,0.00000000,0.16583333
6.65913486,0.00000000,0.16666667
6.65548754,0.00000000,0.16750000
6.65545177,0.00000000,0.16833333
6.65156078,0.00000000,0.16916667
6.64775705,0.00000000,0.17000000
6.64608431,0.00000000,0.17083333
6.64213276,0.00000000,0.17166667
6.63396311,0.00000000,0.17250000
6.62938738,0.00000000,0.17333333
6.62433529,0.00000000,0.17416667
6.62268686,0.00000000,0.17500000
6.61628056,0.00000000,0.17583333
6.61504459,0.00000000,0.17666667
6.61058855,0.00000000,0.17750000
6.60453081,0.00000000,0.17833333
6.60068893,0.00000000,0.17916667
6.59433985,0.00000000,0.18000000
6.59300709,0.00000000,0.18083333
6.58562183,0.00000000,0.18166667
6.58236647,0.00000000,0.18250000
6.57035589,0.00000000,0.18333333
6.56958771,0.00000000,0.18416667
6.56374979,0.00000000,0.18500000
6.56331778,0.00000000,0.18583333
6.55036068,0.00000000,0.18666667
6.54923153,0.00000000,0.18750000
6.54427671,0.00000000,0.18833333
6.54214954,0.00000000,0.18916667
6.54107618,0.00000000,0.19000000
6.53657198,0.00000000,0.19083333
6.53194284,0.00000000,0.19166667
6.52789927,0.00000000,0.19250000
6.52061462,0.00000000,0.19333333
6.50769901,0.00000000,0.19416667
6.50476456,0.00000000,0.19500000
6.49186945,0.00000000,0.19583333
6.48703909,0.00000000,0.19666667
6.48377514,0.00000000,0.19750000
6.47895193,0.00000000,0.19833333
6.47853041,0.00000000,0.19916667
6.47678137,0.00000000,0.20000000
6.47440100,0.00000000,0.20083333
6.47055483,0.00000000,0.20166667
6.46326876,0.00000000,0.20250000
6.45782709,0.00000000,0.20333333
6.45258427,0.00000000,0.20416667
6.44426727,0.00000000,0.20500000
