z0,z1,phase
2.517552,1.890629,cornering
1.706231,6.083042,cornering
1.735729,6.147496,cornering
1.268533,7.788644,cornering
0.552872,7.671228,cornering
0.241614,7.793002,cornering
1.822325,6.810791,cornering
1.822827,7.075734,cornering
1.822270,7.004049,cornering
1.810257,7.079647,cornering
1.785945,7.147100,cornering
1.754215,7.214813,cornering
1.715829,7.274361,cornering
1.670835,7.326110,cornering
1.619046,7.370636,cornering
1.560248,7.408376,cornering
1.494190,7.439702,cornering
1.420578,7.464940,cornering
1.339123,7.484346,cornering
1.249533,7.498138,cornering
1.151519,7.506519,cornering
1.044841,7.509645,cornering
0.929309,7.507654,cornering
0.804790,7.500689,cornering
0.671252,7.488863,cornering
0.528769,7.472286,cornering
0.377522,7.451088,cornering
0.217836,7.425377,cornering
0.050158,7.395285,cornering
-0.124928,7.360957,cornering
-0.293551,7.317704,cornering
-0.455314,7.266963,cornering
-0.621178,7.213727,cornering
-0.790344,7.158122,cornering
-0.962001,7.100285,cornering
-1.135339,7.040356,cornering
-1.309562,6.978483,cornering
-1.483899,6.914798,cornering
-1.657612,6.849459,cornering
-1.830004,6.782588,cornering
-2.000429,6.714329,cornering
-2.168288,6.644808,cornering
-2.333034,6.574126,cornering
-2.494176,6.502377,cornering
-2.651283,6.429660,cornering
-2.803975,6.356031,cornering
-2.951926,6.281518,cornering
-3.094868,6.206153,cornering
-3.232580,6.129919,cornering
-3.364893,6.052791,cornering
-3.491675,5.974702,cornering
-3.591207,5.887608,cornering
-3.675982,5.795637,cornering
-3.756741,5.702709,cornering
-3.833244,5.608531,cornering
-3.905282,5.512826,cornering
-3.972657,5.415283,cornering
-4.545891,5.570385,cornering
-4.599897,5.461260,cornering
-4.650912,5.350956,cornering
-4.698526,5.239235,cornering
-4.742392,5.125826,deploy
-4.782210,5.010472,deploy
-4.817730,4.892941,deploy
-4.848724,4.773010,deploy
-4.875003,4.650502,deploy
-4.896412,4.525290,deploy
-4.912813,4.397283,deploy
-4.924114,4.266479,deploy
-4.930244,4.132921,deploy
-4.931172,3.996754,deploy
-7.018946,2.826779,deploy
-7.045000,2.666614,deploy
-7.065828,2.507742,deploy
-7.081396,2.350809,deploy
-7.091732,2.196476,deploy
-7.096889,2.045341,deploy
-7.097006,1.897992,deploy
-7.092262,1.754948,deploy
-7.082875,1.616655,deploy
-7.069125,1.483496,deploy
-7.051330,1.355788,deploy
-7.029826,1.233760,deploy
-7.004988,1.117572,deploy
-6.977219,1.007350,deploy
-6.946924,0.903141,deploy
