epoch,loss,validation_loss
1,0.19504147,0.14534879
2,0.13249784,0.12170153
3,0.11327616,0.10541871
4,0.09882203,0.09249655
5,0.08722032,0.08207191
6,0.07779915,0.07359263
7,0.07012659,0.06665912
8,0.06387551,0.06094364
9,0.05870768,0.05620329
10,0.05437712,0.05221921
11,0.05073286,0.04884342
12,0.04756515,0.04596020
13,0.04492762,0.04346787
14,0.04260418,0.04129480
15,0.04060858,0.03938480
16,0.03880073,0.03768901
17,0.03728305,0.03617382
18,0.03586599,0.03481029
19,0.03459894,0.03357299
20,0.03346689,0.03244551
21,0.03226596,0.03141293
22,0.03123988,0.03046356
23,0.03038690,0.02958549
24,0.02953572,0.02877445
25,0.02870069,0.02802127
26,0.02810875,0.02731887
27,0.02744472,0.02666314
28,0.02669877,0.02605041
29,0.02617778,0.02547697
30,0.02558950,0.02493521
31,0.02504016,0.02442737
32,0.02456053,0.02394722
33,0.02413410,0.02349635
34,0.02367335,0.02306835
35,0.02324965,0.02266395
36,0.02283637,0.02228148
37,0.02247684,0.02191812
38,0.02212897,0.02157459
39,0.02175452,0.02124775
40,0.02149268,0.02093630
41,0.02117517,0.02064110
42,0.02094085,0.02035798
43,0.02061430,0.02008789
44,0.02043389,0.01983126
45,0.02011492,0.01958567
46,0.02000809,0.01935213
47,0.01965995,0.01912655
48,0.01949221,0.01891109
49,0.01917858,0.01870405
50,0.01908555,0.01850611
51,0.01885670,0.01831525
52,0.01867435,0.01813298
53,0.01852943,0.01795696
54,0.01840166,0.01778815
55,0.01815259,0.01762448
56,0.01795053,0.01746844
57,0.01778856,0.01731576
58,0.01766445,0.01716955
59,0.01751411,0.01702771
60,0.01736868,0.01689122
61,0.01722754,0.01675883
62,0.01710156,0.01663112
63,0.01702888,0.01650810
64,0.01689439,0.01638802
65,0.01673994,0.01627197
66,0.01667713,0.01615939
67,0.01660163,0.01605058
68,0.01645573,0.01594493
69,0.01633021,0.01584222
70,0.01619186,0.01574105
71,0.01610642,0.01564333
72,0.01601191,0.01554908
73,0.01591902,0.01545676
74,0.01585920,0.01536661
75,0.01572838,0.01527883
76,0.01567309,0.01519386
77,0.01563755,0.01511022
78,0.01554606,0.01503105
79,0.01548786,0.01495040
80,0.01537333,0.01487313
81,0.01533835,0.01479798
82,0.01519756,0.01472353
83,0.01515519,0.01465094
84,0.01510468,0.01458077
85,0.01497067,0.01451102
86,0.01497442,0.01444332
87,0.01486990,0.01437674
88,0.01479998,0.01431135
89,0.01475475,0.01424780
90,0.01473627,0.01418498
91,0.01459473,0.01412332
92,0.01450657,0.01406325
93,0.01445057,0.01400364
94,0.01441545,0.01394566
95,0.01441150,0.01388935
96,0.01431060,0.01383246
97,0.01424419,0.01377707
98,0.01418441,0.01372280
99,0.01414572,0.01366926
100,0.01408977,0.01361732
101,0.01404355,0.01356608
102,0.01396205,0.01351456
103,0.01393895,0.01346456
104,0.01388263,0.01341516
105,0.01380053,0.01336617
106,0.01377579,0.01331839
107,0.01376242,0.01327100
108,0.01368680,0.01322412
109,0.01368562,0.01317762
110,0.01356508,0.01313194
111,0.01355066,0.01308716
112,0.01352770,0.01304307
113,0.01351772,0.01299893
114,0.01339004,0.01295636
115,0.01336084,0.01291373
116,0.01331482,0.01287145
117,0.01339535,0.01282935
118,0.01322035,0.01278893
119,0.01318298,0.01274798
120,0.01321486,0.01270737
121,0.01308635,0.01266697
122,0.01305913,0.01262777
123,0.01300641,0.01258888
124,0.01303946,0.01255011
125,0.01298357,0.01251143
126,0.01290649,0.01247330
127,0.01293864,0.01243559
128,0.01288513,0.01239897
129,0.01283624,0.01236251
130,0.01277238,0.01232583
131,0.01272199,0.01228945
132,0.01274821,0.01225378
133,0.01264301,0.01221755
134,0.01268766,0.01218216
135,0.01257531,0.01214754
136,0.01256893,0.01211287
137,0.01250684,0.01207900
138,0.01259504,0.01204415
139,0.01245701,0.01201005
140,0.01244725,0.01197664
141,0.01238874,0.01194300
142,0.01237479,0.01191019
143,0.01233641,0.01187692
144,0.01231557,0.01184412
145,0.01228526,0.01181199
146,0.01222791,0.01177963
147,0.01219986,0.01174769
148,0.01218995,0.01171591
149,0.01218255,0.01168420
150,0.01209768,0.01165340
151,0.01207611,0.01162215
152,0.01209470,0.01159110
153,0.01202875,0.01156041
154,0.01194006,0.01153014
155,0.01196159,0.01149880
156,0.01191447,0.01146863
157,0.01185884,0.01143887
158,0.01192375,0.01140908
159,0.01182972,0.01137985
160,0.01177567,0.01134972
161,0.01178383,0.01132069
162,0.01178587,0.01129210
163,0.01170700,0.01126228
164,0.01171463,0.01123319
165,0.01163082,0.01120509
166,0.01165220,0.01117660
167,0.01163699,0.01114859
168,0.01156591,0.01112016
169,0.01154847,0.01109279
170,0.01151595,0.01106493
171,0.01147648,0.01103681
172,0.01146332,0.01100968
173,0.01140552,0.01098213
174,0.01135157,0.01095342
175,0.01138691,0.01092745
176,0.01135241,0.01089956
177,0.01127042,0.01087222
178,0.01138232,0.01084558
179,0.01126334,0.01081911
180,0.01124076,0.01079281
181,0.01116948,0.01076608
182,0.01119823,0.01073961
183,0.01110770,0.01071399
184,0.01114976,0.01068772
185,0.01110746,0.01066148
186,0.01104580,0.01063590
187,0.01102696,0.01061043
188,0.01102492,0.01058536
189,0.01098522,0.01055990
190,0.01095713,0.01053442
191,0.01092661,0.01050933
192,0.01091099,0.01048404
193,0.01091189,0.01045896
194,0.01085727,0.01043423
195,0.01082253,0.01041004
196,0.01081179,0.01038554
197,0.01082233,0.01036118
198,0.01074112,0.01033782
199,0.01075914,0.01031305
200,0.01072612,0.01028947
201,0.01068145,0.01026444
202,0.01064843,0.01024060
203,0.01064708,0.01021734
204,0.01065465,0.01019333
205,0.01055939,0.01016988
206,0.01056839,0.01014653
207,0.01053999,0.01012271
208,0.01048172,0.01009884
209,0.01048716,0.01007584
210,0.01046613,0.01005285
211,0.01047371,0.01002995
212,0.01043893,0.01000741
213,0.01040565,0.00998415
214,0.01034699,0.00996118
215,0.01030797,0.00993933
216,0.01035210,0.00991632
217,0.01028497,0.00989416
