epoch,loss,reconstruction_loss,kl_loss
1,0.98078310,0.98053410,0.16600126
2,0.95546433,0.95525514,0.13945999
3,0.93919021,0.93898049,0.13981342
4,0.92308609,0.92284399,0.16139809
5,0.90820329,0.90789359,0.20646968
6,0.88407742,0.88365074,0.28445507
7,0.85321707,0.85260216,0.40993898
8,0.81050612,0.80961046,0.59711050
9,0.76484564,0.76356544,0.85346939
10,0.71641718,0.71466404,1.16875508
11,0.67997363,0.67770616,1.51165007
12,0.65069475,0.64792611,1.84576009
13,0.63481353,0.63158926,2.14950918
14,0.62167927,0.61804371,2.42371275
15,0.61380837,0.60981877,2.65973754
16,0.60504845,0.60075352,2.86328410
17,0.60052122,0.59595551,3.04380719
18,0.59180829,0.58699553,3.20850497
19,0.58640061,0.58135764,3.36198324
20,0.57890025,0.57363227,3.51198240
21,0.56958612,0.56410128,3.65655884
22,0.56278636,0.55708246,3.80259822
23,0.55397074,0.54804532,3.95028020
24,0.54515532,0.53901013,4.09679120
25,0.53505632,0.52868613,4.24679540
26,0.52545217,0.51886097,4.39413583
27,0.51737712,0.51055804,4.54605314
28,0.51004805,0.50299855,4.69966878
29,0.50038769,0.49311050,4.85146117
30,0.49238064,0.48487349,5.00476860
31,0.48585489,0.47811730,5.15839859
32,0.48130771,0.47334520,5.30834144
33,0.47694258,0.46876264,5.45329340
34,0.47231364,0.46392295,5.59378998
35,0.46911247,0.46050754,5.73662136
36,0.46540919,0.45660619,5.86866481
37,0.46279428,0.45379745,5.99788779
38,0.46122774,0.45204752,6.12014476
39,0.45976793,0.45040882,6.23940943
40,0.45764133,0.44810964,6.35445504
41,0.45742768,0.44773535,6.46154845
42,0.45404388,0.44418851,6.57025031
43,0.45315002,0.44314618,6.66922502
44,0.45252612,0.44237223,6.76926260
45,0.44982742,0.43952716,6.86683883
46,0.45003393,0.43959962,6.95620868
47,0.44968327,0.43911519,7.04538264
48,0.44752301,0.43681714,7.13724329
49,0.44712619,0.43629425,7.22129332
50,0.44647493,0.43552055,7.30291812
51,0.44523010,0.43415423,7.38390942
52,0.44414273,0.43294999,7.46183032
53,0.44454731,0.43324051,7.53786351
54,0.44330889,0.43189569,7.60880169
55,0.44255190,0.43103456,7.67822555
56,0.44073190,0.42911080,7.74739848
57,0.44090598,0.42917995,7.81735220
58,0.44040607,0.42857564,7.88695856
59,0.43995165,0.42802038,7.95418470
60,0.43944735,0.42741991,8.01829474
61,0.43902489,0.42689622,8.08578054
62,0.43796451,0.42574175,8.14850858
63,0.43777235,0.42545885,8.20899978
64,0.43653441,0.42413055,8.26924005
65,0.43648124,0.42399131,8.32661868
66,0.43620389,0.42362702,8.38458604
67,0.43575204,0.42308515,8.44459156
68,0.43491312,0.42216296,8.50011060
69,0.43414441,0.42131226,8.55476541
70,0.43406510,0.42115631,8.60586080
71,0.43379257,0.42080344,8.65941606
72,0.43279295,0.41972553,8.71161092
73,0.43257257,0.41943281,8.75984311
74,0.43244306,0.41922733,8.81048981
75,0.43203500,0.41874443,8.86038014
76,0.43147653,0.41811108,8.91029867
77,0.43070686,0.41726813,8.95915233
78,0.43117250,0.41765740,9.01006231
79,0.43039400,0.41680168,9.06154561
80,0.42911069,0.41545229,9.10559584
81,0.42955064,0.41582374,9.15127100
82,0.42845415,0.41466408,9.19338024
83,0.42857832,0.41472628,9.23469042
84,0.42836101,0.41443952,9.28099005
85,0.42782128,0.41383411,9.32477764
86,0.42700710,0.41295757,9.36635187
87,0.42721003,0.41309887,9.40743912
88,0.42645541,0.41227842,9.45132581
89,0.42601913,0.41178482,9.48953802
90,0.42546508,0.41116828,9.53119576
91,0.42555706,0.41120081,9.57083383
92,0.42458968,0.41016957,9.61341017
93,0.42405814,0.40958246,9.65045051
94,0.42454900,0.41001862,9.68692135
95,0.42400771,0.40941986,9.72523502
96,0.42314158,0.40849665,9.76328690
97,0.42280033,0.40810398,9.79757182
98,0.42248811,0.40774011,9.83200185
99,0.42201260,0.40720728,9.87021216
100,0.42170240,0.40684338,9.90601806
101,0.42106231,0.40615251,9.93986461
102,0.42082587,0.40587124,9.96975325
103,0.42046200,0.40545634,10.00377572
104,0.42065943,0.40560594,10.03566468
105,0.42024314,0.40514036,10.06851865
106,0.41968089,0.40452954,10.10090592
107,0.41849314,0.40329745,10.13045942
108,0.41937499,0.40413295,10.16136467
109,0.41870596,0.40341290,10.19537231
110,0.41832590,0.40298538,10.22701234
111,0.41778404,0.40239475,10.25952315
112,0.41728994,0.40185817,10.28784602
113,0.41687816,0.40140111,10.31803293
114,0.41709584,0.40157204,10.34920102
115,0.41597474,0.40040607,10.37911825
116,0.41599487,0.40038420,10.40711028
117,0.41549100,0.39984050,10.43366525
118,0.41554412,0.39985098,10.46209522
119,0.41479123,0.39905280,10.49228865
120,0.41462024,0.39884213,10.51873844
121,0.41439925,0.39858016,10.54605935
122,0.41363992,0.39778044,10.57298531
123,0.41380337,0.39790441,10.59930713
124,0.41307250,0.39713276,10.62649347
125,0.41287967,0.39689891,10.65384091
126,0.41278280,0.39676783,10.67665162
127,0.41216544,0.39610953,10.70394032
128,0.41172354,0.39562965,10.72925855
129,0.41085125,0.39472253,10.75248010
130,0.41058298,0.39441625,10.77782104
131,0.41002603,0.39381937,10.80444208
132,0.41030150,0.39406190,10.82640240
133,0.41002343,0.39374922,10.84947203
134,0.40984783,0.39353368,10.87609559
135,0.40892214,0.39257363,10.89901012
136,0.40860950,0.39222685,10.92177160
137,0.40835967,0.39194513,10.94302459
138,0.40818390,0.39173171,10.96812779
139,0.40773313,0.39124489,10.99216029
140,0.40675763,0.39023379,11.01589344
141,0.40632868,0.38977424,11.03629731
142,0.40600954,0.38942184,11.05846821
143,0.40546012,0.38883732,11.08186872
144,0.40562805,0.38897656,11.10099482
145,0.40502388,0.38834195,11.12128752
146,0.40408825,0.38737445,11.14253106
147,0.40419918,0.38745284,11.16422627
148,0.40416146,0.38738259,11.18591496
149,0.40292380,0.38611292,11.20725225
150,0.40268238,0.38584313,11.22616742
151,0.40293793,0.38606899,11.24595772
152,0.40206665,0.38516326,11.26892522
153,0.40197657,0.38504420,11.28824623
154,0.40112689,0.38416391,11.30865321
155,0.40098710,0.38399295,11.32943084
156,0.40031714,0.38329271,11.34962242
157,0.40033074,0.38327800,11.36849384
158,0.39952291,0.38244001,11.38859670
159,0.39893547,0.38182427,11.40746454
160,0.39829849,0.38116178,11.42447746
161,0.39795095,0.38078136,11.44638891
162,0.39774269,0.38054354,11.46610311
163,0.39699608,0.37976662,11.48630638
164,0.39645120,0.37919180,11.50626291
165,0.39627536,0.37898906,11.52419501
166,0.39595827,0.37864505,11.54214515
167,0.39468141,0.37734105,11.56023554
168,0.39499654,0.37763093,11.57707280
169,0.39459470,0.37720094,11.59584337
170,0.39383728,0.37641753,11.61317066
171,0.39349460,0.37604699,11.63174199
172,0.39309513,0.37562256,11.64837750
173,0.39263351,0.37514030,11.66213935
174,0.39258593,0.37506228,11.68243310
175,0.39160625,0.37405782,11.69894949
176,0.39087739,0.37329809,11.71953100
177,0.39051106,0.37290541,11.73709586
178,0.39056580,0.37293558,11.75348515
179,0.39007527,0.37241497,11.77353124
180,0.38959360,0.37190633,11.79151950
181,0.38903790,0.37132136,11.81102542
182,0.38823046,0.37048839,11.82804824
183,0.38755825,0.36979036,11.84526181
184,0.38720345,0.36941357,11.85992301
185,0.38685571,0.36903849,11.87814671
186,0.38638081,0.36854259,11.89215030
187,0.38538327,0.36751503,11.91216198
188,0.38501597,0.36712937,11.92439651
189,0.38467835,0.36676234,11.94400633
190,0.38438903,0.36644488,11.96276323
191,0.38378917,0.36582723,11.97462609
192,0.38294529,0.36495873,11.99104067
193,0.38232903,0.36432202,12.00467678
194,0.38245370,0.36442304,12.02044006
195,0.38180137,0.36374504,12.03755363
196,0.38134252,0.36326289,12.05308432
197,0.38096965,0.36287010,12.06636324
198,0.38044124,0.36231962,12.08108102
199,0.37954571,0.36139669,12.09934753
200,0.37891429,0.36074542,12.11258430
201,0.37889075,0.36069973,12.12734595
202,0.37791781,0.35970445,12.14224140
203,0.37739179,0.35915327,12.15901483
204,0.37654358,0.35828216,12.17427732
205,0.37602201,0.35774262,12.18625844
206,0.37572371,0.35742625,12.19830109
207,0.37504418,0.35672582,12.21224205
208,0.37441414,0.35607161,12.22835662
209,0.37400112,0.35563881,12.24153855
210,0.37412015,0.35573259,12.25837385
211,0.37366653,0.35525791,12.27241700
212,0.37247735,0.35404760,12.28650432
213,0.37147611,0.35302548,12.30042328
214,0.37201920,0.35354943,12.31317981
215,0.37048448,0.35199499,12.32632525
216,0.37081452,0.35230562,12.33926543
217,0.37042775,0.35189949,12.35217092
218,0.36998181,0.35143093,12.36725313
219,0.36945190,0.35087992,12.38131894
220,0.36910728,0.35051566,12.39440917
221,0.36797641,0.34937182,12.40306005
222,0.36685567,0.34822747,12.41880047
223,0.36618369,0.34754031,12.42891876
224,0.36627370,0.34761338,12.44021299
225,0.36610172,0.34742162,12.45340162
226,0.36546376,0.34676260,12.46743915
227,0.36467436,0.34595711,12.47816112
228,0.36469985,0.34595900,12.49389777
229,0.36415857,0.34539991,12.50577380
230,0.36274662,0.34396871,12.51860751
231,0.36204026,0.34324663,12.52908541
232,0.36225837,0.34344549,12.54192440
233,0.36110414,0.34226551,12.55908615
234,0.36056429,0.34171362,12.56711055
235,0.36093237,0.34206700,12.57691378
236,0.35965600,0.34077739,12.58574297
237,0.36008947,0.34119040,12.59938520
238,0.35893137,0.34001696,12.60960811
239,0.35859098,0.33966135,12.61975388
240,0.35795294,0.33900674,12.63080065
241,0.35766374,0.33870277,12.64065135
242,0.35768667,0.33871050,12.65077766
243,0.35590649,0.33691667,12.65988013
244,0.35590209,0.33689481,12.67151616
245,0.35540719,0.33638176,12.68362547
246,0.35495380,0.33591208,12.69447818
247,0.35487208,0.33580803,12.70936641
248,0.35413835,0.33506224,12.71741098
249,0.35372124,0.33462973,12.72767858
250,0.35238428,0.33327187,12.74160868
251,0.35194464,0.33282189,12.74849846
252,0.35211565,0.33298361,12.75469114
253,0.35114825,0.33199101,12.77149738
254,0.35044009,0.33126772,12.78157997
255,0.35053658,0.33134779,12.79252550
256,0.34906287,0.32986195,12.80061151
257,0.34914930,0.32993638,12.80861509
258,0.34891309,0.32968512,12.81864802
259,0.34926314,0.33002375,12.82626123
260,0.34800824,0.32875708,12.83410350
261,0.34806067,0.32879252,12.84543198
262,0.34651048,0.32723249,12.85199368
263,0.34682196,0.32752874,12.86214580
264,0.34560618,0.32630065,12.87035256
265,0.34492946,0.32562406,12.87026352
266,0.34469325,0.32537411,12.87943083
267,0.34422828,0.32489535,12.88861661
268,0.34395544,0.32461420,12.89415968
269,0.34362621,0.32427519,12.90067730
270,0.34341120,0.32404813,12.90871407
271,0.34276386,0.32338437,12.91965740
272,0.34210194,0.32270591,12.93068309
273,0.34239802,0.32298812,12.93993464
274,0.34047842,0.32105829,12.94675792
275,0.34114702,0.32171376,12.95550538
276,0.33993730,0.32049435,12.96196264
277,0.34003533,0.32058068,12.96977063
278,0.33915645,0.31969212,12.97621834
279,0.33874300,0.31927075,12.98150272
280,0.33780350,0.31831547,12.99202111
281,0.33775917,0.31825752,13.00110009
282,0.33744031,0.31792835,13.00797137
283,0.33655385,0.31703457,13.01285139
284,0.33706934,0.31754160,13.01849275
285,0.33632175,0.31677936,13.02826330
286,0.33576686,0.31621610,13.03384081
287,0.33507711,0.31551531,13.04119817
288,0.33516574,0.31559998,13.04383729
289,0.33453815,0.31496613,13.04801503
290,0.33449877,0.31492014,13.05241515
291,0.33314329,0.31355118,13.06141176
292,0.33308005,0.31347840,13.06776386
293,0.33230796,0.31269708,13.07391831
294,0.33185674,0.31222870,13.08536173
295,0.33133792,0.31170693,13.08732913
296,0.33062305,0.31097786,13.09679240
297,0.33058986,0.31093537,13.10298825
298,0.33016569,0.31049917,13.11101330
299,0.32960456,0.30993468,13.11325328
300,0.32872049,0.30903615,13.12289075
301,0.32885226,0.30917461,13.11843312
302,0.32894844,0.30926570,13.12182474
303,0.32868781,0.30899763,13.12678749
304,0.32777145,0.30807668,13.12984946
305,0.32707947,0.30738527,13.12946668
306,0.32675488,0.30705032,13.13636851
307,0.32607854,0.30636836,13.14012292
308,0.32612286,0.30639943,13.14895637
309,0.32539888,0.30566767,13.15413986
310,0.32569754,0.30595933,13.15880610
311,0.32488523,0.30514116,13.16271461
312,0.32462681,0.30487381,13.16866972
313,0.32422193,0.30446144,13.17366301
314,0.32401710,0.30425409,13.17533997
315,0.32323204,0.30346349,13.17903290
316,0.32373407,0.30396751,13.17771255
317,0.32269802,0.30292282,13.18346970
318,0.32219321,0.30240932,13.18925607
319,0.32151112,0.30172760,13.18901950
320,0.32136707,0.30157992,13.19142847
321,0.32094475,0.30114865,13.19740035
322,0.32077159,0.30098036,13.19415555
323,0.32067611,0.30088003,13.19738315
324,0.32023758,0.30042696,13.20707989
325,0.31931189,0.29950556,13.20421782
326,0.31906006,0.29925152,13.20569578
327,0.31892900,0.29911632,13.20845382
328,0.31833082,0.29851025,13.21371579
329,0.31828330,0.29846804,13.21017054
330,0.31770449,0.29788637,13.21207889
331,0.31737073,0.29754331,13.21827684
332,0.31670249,0.29687379,13.21913537
333,0.31642686,0.29659969,13.21811707
334,0.31585993,0.29603550,13.21628538
335,0.31570024,0.29587508,13.21677390
336,0.31534742,0.29552553,13.21459223
337,0.31498476,0.29516022,13.21635844
338,0.31461765,0.29478822,13.21962015
339,0.31412191,0.29429040,13.22101149
340,0.31373608,0.29390042,13.22377877
341,0.31319758,0.29336059,13.22466279
342,0.31344730,0.29361811,13.21945687
343,0.31371990,0.29388858,13.22087705
344,0.31234384,0.29251313,13.22047355
345,0.31277049,0.29294301,13.21831668
346,0.31232585,0.29249583,13.22001267
347,0.31221856,0.29238267,13.22393110
348,0.31116967,0.29132442,13.23016786
349,0.31070255,0.29086831,13.22282701
350,0.31066344,0.29082195,13.22765508
351,0.31067670,0.29084140,13.22353278
352,0.31001073,0.29016845,13.22818904
353,0.31006843,0.29023898,13.21963365
354,0.30935640,0.28953941,13.21133140
355,0.30894633,0.28912320,13.21542373
356,0.30860381,0.28877659,13.21814574
357,0.30887135,0.28904523,13.21741354
358,0.30806961,0.28824462,13.21665900
359,0.30777439,0.28794435,13.22002286
360,0.30720287,0.28737428,13.21906479
361,0.30704974,0.28722702,13.21514630
362,0.30644929,0.28662938,13.21327679
363,0.30648661,0.28668092,13.20378914
364,0.30664078,0.28683173,13.20603549
